best_rank,brand,name,concentration,gender,listings,flanker_of,note,slug
183,Dior,Dior Miss Dior Parfum,parfum,f,1,Dior Miss Dior (2021),,dior-miss-dior-parfum
187,Carolina Herrera,Carolina Herrera Good Girl Blush Elixir EDP,edp,f,1,Carolina Herrera Good Girl; Carolina Herrera Good Girl Blush,,carolina-herrera-good-girl-blush-elixir-edp
194,Prada,Prada Paradoxe Intense  EDP,edp,f,2,Prada Paradoxe,,prada-paradoxe-intense-edp
195,Givenchy,Givenchy L'Interdit Rouge Ultime EDP,edp,f,1,Givenchy L'Interdit Eau de Parfum; Givenchy L'Interdit Eau de Parfum Rouge,,givenchy-linterdit-rouge-ultime-edp
196,Ibraheem Al.Qurashi,Ibraheem Al.Qurashi Blue Diamond Aqua EDP,edp,u,1,,,ibraheem-al-qurashi-blue-diamond-aqua-edp
197,Arabian Oud,Arabian Oud Taraf EDP,edp,f,1,,,arabian-oud-taraf-edp
198,Giorgio Armani,Giorgio Armani Acqua Di Giò Parfum,parfum,m,1,,,giorgio-armani-acqua-di-gio-parfum
199,Rabanne,Paco Rabanne 1 Million Golden Oud EDP,edp,m,1,,,paco-rabanne-1-million-golden-oud-edp
201,Jean Paul Gaultier,Jean Paul Gaultier Gaultier Divine EDP,edp,f,1,,,jean-paul-gaultier-gaultier-divine-edp
207,Dior,Dior Dior Homme Parfum (2025 Version),parfum,m,1,,,dior-homme-parfum-for-men
208,Valentino,Valentino Valentino Uomo Born In Roma Intense EDP,edp,m,1,Valentino Uomo Born in Roma; Valentino Uomo Intense,,valentino-valentino-uomo-born-in-roma-intense-edp
209,Valentino,Valentino Valentino Donna Born In Roma Intense EDP,edp,f,1,,,valentino-valentino-donna-born-in-roma-intense-edp
212,Giorgio Armani,Giorgio Armani My Way Le Parfum,parfum,f,2,Giorgio Armani My Way,,giorgio-armani-my-way-le-parfum
213,Burberry,Burberry Burberry Her Elixir EDP Intense,edp,f,2,Burberry Her,,burberry-burberry-her-elixir-edp-intense
215,Jean Paul Gaultier,Jean Paul Gaultier Scandal Le Parfum EDP,edp,m,2,Jean Paul Gaultier Scandal Pour Homme,,jean-paul-gaultier-scandal-le-parfum-edp
217,Valentino,Valentino Born in Roma Uomo Coral Fantasy EDT,edt,m,1,Valentino Uomo Born in Roma,,valentino-born-in-roma-uomo-coral-fantasy-edt
220,Ahmed Perfume,Ahmed Perfume Rose Noir EDP,edp,f,1,,,ahmed-perfume-rose-noir-edp
221,Givenchy,Givenchy Gentleman Society EDP,edp,m,2,Givenchy Gentleman Eau de Parfum,,givenchy-gentleman-society-edp
222,Rabanne,Paco Rabanne Invictus Victory Elixir EDP,edp,m,2,,,paco-rabanne-invictus-victory-elixir-edp
